Crash ID,State,Date,Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20185030,WA,3-1-2018 13:00,Friday,Single,No,No,Yes,80,Driver,Male,41,Outer Regional Australia,Manjimup,Local Road,No,No,40_to_64,Weekday,Day
20182054,Vic,3-1-2018 13:00,Friday,Single,No,No,No,100,Motorcycle rider,Male,60,Outer Regional Australia,Wangaratta,Arterial Road,No,No,40_to_64,Weekday,Day
20181173,NSW & ACT,3-1-2018 13:00,Monday,Multiple,No,No,No,50,Motorcycle rider,Male,30,Major Cities of Australia,Cumberland,Local Road,No,No,26_to_39,Weekday,Day
20185088,WA,3-1-2018 14:00,Saturday,Multiple,No,No,No,90,Motorcycle rider,Male,48,Outer Regional Australia,Nannup,Arterial Road,No,No,40_to_64,Weekend,Day
20182091,Vic,3-1-2018 14:00,Friday,Single,No,No,No,60,Pedestrian,Male,81,Major Cities of Australia,Nillumbik,Arterial Road,No,No,75_or_older,Weekday,Day
20182169,Vic,3-1-2018 14:00,Monday,Multiple,No,No,No,110,Motorcycle rider,Male,32,Major Cities of Australia,Melton,National or State Highway,No,No,26_to_39,Weekday,Day
20182115,Vic,3-1-2018 14:00,Saturday,Multiple,No,No,No,100,Motorcycle rider,Male,56,Inner Regional Australia,Murrindindi,Sub-Arterial Road,No,Yes,40_to_64,Weekend,Day
20183174,Qld,3-1-2018 15:00,Friday,Multiple,No,Yes,No,80,Driver,Male,24,Major Cities of Australia,Gold Coast,Local Road,No,No,17_to_25,Weekday,Day
20183074,Qld,3-1-2018 15:00,Wednesday,Multiple,No,No,No,80,Motorcycle rider,Female,43,Major Cities of Australia,Moreton Bay,Sub-Arterial Road,No,No,40_to_64,Weekday,Day
20182121,Vic,3-1-2018 15:00,Wednesday,Multiple,No,No,Yes,60,Passenger,Female,56,Outer Regional Australia,Glenelg,Arterial Road,No,No,40_to_64,Weekday,Day
20186013,Tas,3-1-2018 15:00,Thursday,Single,No,No,No,40,Motorcycle rider,Male,25,Outer Regional Australia,Circular Head,Local Road,No,No,17_to_25,Weekday,Day
20181175,NSW & ACT,3-1-2018 15:00,Thursday,Multiple,No,No,No,80,Passenger,Female,84,Inner Regional Australia,Hilltops,Arterial Road,No,No,75_or_older,Weekday,Day
20182039,Vic,3-1-2018 15:00,Friday,Multiple,No,No,No,60,Driver,Male,74,Major Cities of Australia,Boroondara,Arterial Road,No,No,65_to_74,Weekday,Day
20181078,NSW & ACT,3-1-2018 15:00,Saturday,Single,No,No,No,80,Passenger,Male,17,Inner Regional Australia,Mid-Coast,Sub-Arterial Road,No,No,17_to_25,Weekend,Day
20185072,WA,3-1-2018 15:00,Thursday,Multiple,No,No,No,70,Driver,Male,71,Major Cities of Australia,Armadale,National or State Highway,No,No,65_to_74,Weekday,Day
20185143,WA,3-1-2018 15:00,Wednesday,Multiple,No,No,No,110,Passenger,Female,56,Outer Regional Australia,Victoria Plains,National or State Highway,No,No,40_to_64,Weekday,Day
20185143,WA,3-1-2018 15:00,Wednesday,Multiple,No,No,No,110,Driver,Male,56,Outer Regional Australia,Victoria Plains,National or State Highway,No,No,40_to_64,Weekday,Day
20187040,NT,3-1-2018 16:00,Tuesday,Multiple,No,No,No,100,Passenger,Female,81,Very Remote Australia,Barkly,National or State Highway,No,No,75_or_older,Weekday,Day
20183223,Qld,3-1-2018 16:00,Wednesday,Single,No,No,No,110,Motorcycle rider,Male,66,Very Remote Australia,Mount Isa,National or State Highway,No,No,65_to_74,Weekday,Day
20181164,NSW & ACT,3-1-2018 16:00,Friday,Multiple,No,Yes,No,80,Driver,Female,17,Inner Regional Australia,Port Macquarie-Hastings,Sub-Arterial Road,No,No,17_to_25,Weekday,Day
20184021,SA,3-1-2018 16:00,Wednesday,Multiple,No,No,No,100,Driver,Female,69,Inner Regional Australia,Adelaide Hills,Arterial Road,No,No,65_to_74,Weekday,Day
20186008,Tas,3-1-2018 16:00,Saturday,Single,No,No,No,100,Driver,Female,34,Outer Regional Australia,Launceston,Arterial Road,No,No,26_to_39,Weekend,Day
20184070,SA,3-1-2018 16:00,Monday,Multiple,No,No,No,60,Pedal cyclist,Male,28,Inner Regional Australia,Murray Bridge,Collector Road,No,No,26_to_39,Weekday,Day
20181133,NSW & ACT,3-1-2018 16:00,Thursday,Single,No,No,No,50,Pedestrian,Male,9,Major Cities of Australia,Canterbury-Bankstown,Collector Road,No,No,0_to_16,Weekday,Day
20182085,Vic,3-1-2018 16:00,Monday,Multiple,No,No,Yes,100,Motorcycle rider,Male,54,Inner Regional Australia,Surf Coast,National or State Highway,No,No,40_to_64,Weekday,Day
20181251,NSW & ACT,3-1-2018 16:00,Friday,Multiple,No,No,Yes,110,Driver,Male,46,Inner Regional Australia,Central Coast (NSW),National or State Highway,No,No,40_to_64,Weekday,Day
20183064,Qld,3-1-2018 17:00,Saturday,Multiple,No,No,No,60,Driver,Female,56,Major Cities of Australia,Brisbane,Sub-Arterial Road,No,No,40_to_64,Weekend,Day
20185110,WA,3-1-2018 17:00,Saturday,Single,No,No,No,50,Pedestrian,Female,62,Major Cities of Australia,Rockingham,Arterial Road,No,No,40_to_64,Weekend,Day
20182126,Vic,3-1-2018 17:00,Tuesday,Multiple,No,No,No,50,Driver,Male,19,Major Cities of Australia,Moonee Valley,Sub-Arterial Road,No,No,17_to_25,Weekday,Day
20184075,SA,3-1-2018 17:00,Friday,Multiple,No,Yes,No,60,Pedal cyclist,Male,14,Outer Regional Australia,Whyalla,Collector Road,No,No,0_to_16,Weekday,Day
20187012,NT,3-1-2018 17:00,Friday,Multiple,No,No,No,80,Passenger,Female,40,Outer Regional Australia,Litchfield,Local Road,No,No,40_to_64,Weekday,Day
20187012,NT,3-1-2018 17:00,Friday,Multiple,No,No,No,80,Passenger,Female,53,Outer Regional Australia,Litchfield,Local Road,No,No,40_to_64,Weekday,Day
20183220,Qld,3-1-2018 18:00,Sunday,Single,No,No,No,60,Pedestrian,Male,4,Inner Regional Australia,Western Downs,National or State Highway,No,No,0_to_16,Weekend,Night
20182007,Vic,3-1-2018 18:00,Wednesday,Single,No,No,No,100,Driver,Female,68,Outer Regional Australia,Gannawarra,Arterial Road,No,No,65_to_74,Weekday,Night
20184041,SA,3-1-2018 18:00,Tuesday,Multiple,No,No,No,60,Driver,Male,63,Major Cities of Australia,Tea Tree Gully,Arterial Road,No,No,40_to_64,Weekday,Night
20181091,NSW & ACT,3-1-2018 18:00,Thursday,Single,No,No,No,80,Passenger,Male,33,Inner Regional Australia,Blayney,Arterial Road,No,No,26_to_39,Weekday,Night
20185061,WA,3-1-2018 18:00,Friday,Multiple,Yes,No,No,50,Pedal cyclist,Male,26,Major Cities of Australia,Perth,Arterial Road,No,No,26_to_39,Weekend,Night
20181034,NSW & ACT,3-1-2018 18:00,Friday,Multiple,No,No,Yes,50,Driver,Male,87,Inner Regional Australia,Richmond Valley,National or State Highway,No,No,75_or_older,Weekend,Night
20183164,Qld,3-1-2018 19:00,Friday,Single,No,No,No,60,Driver,Female,20,Inner Regional Australia,Fraser Coast,Local Road,No,No,17_to_25,Weekend,Night
20187021,NT,3-1-2018 19:00,Wednesday,Multiple,No,No,No,90,Motorcycle rider,Male,16,Outer Regional Australia,Litchfield,Sub-Arterial Road,No,No,0_to_16,Weekday,Night
20181174,NSW & ACT,3-1-2018 19:00,Friday,Multiple,No,No,No,60,Passenger,Male,17,Major Cities of Australia,Campbelltown (NSW),Arterial Road,No,Yes,17_to_25,Weekend,Night
20184011,SA,3-1-2018 19:00,Wednesday,Single,No,No,No,100,Pedestrian,Female,39,Outer Regional Australia,Mount Remarkable,Sub-Arterial Road,No,No,26_to_39,Weekday,Night
20187015,NT,3-1-2018 19:00,Friday,Single,No,No,No,70,Pedestrian,Female,27,Outer Regional Australia,Darwin,Arterial Road,No,No,26_to_39,Weekend,Night
20181098,NSW & ACT,3-1-2018 20:00,Saturday,Single,No,No,No,100,Motorcycle rider,Male,42,Outer Regional Australia,Griffith,Arterial Road,No,No,40_to_64,Weekend,Night
20181212,NSW & ACT,3-1-2018 20:00,Monday,Single,No,No,No,50,Pedestrian,Male,66,Major Cities of Australia,Bayside (NSW),Collector Road,No,No,65_to_74,Weekday,Night
20181316,NSW & ACT,3-1-2018 20:00,Monday,Multiple,No,No,No,70,Motorcycle rider,Male,20,Major Cities of Australia,Shellharbour,Arterial Road,No,No,17_to_25,Weekday,Night
20183169,Qld,3-1-2018 21:00,Saturday,Multiple,No,No,No,70,Driver,Male,72,Major Cities of Australia,Brisbane,Sub-Arterial Road,No,Yes,65_to_74,Weekend,Night
20183014,Qld,3-1-2018 21:00,Friday,Multiple,No,No,No,100,Driver,Male,27,Inner Regional Australia,Rockhampton,Sub-Arterial Road,No,No,26_to_39,Weekend,Night
20185071,WA,3-1-2018 21:00,Saturday,Multiple,No,No,No,70,Motorcycle rider,Male,36,Unknown,Unknown,Unknown,No,No,26_to_39,Weekend,Night
20181152,NSW & ACT,3-1-2018 22:00,Tuesday,Single,No,No,No,100,Driver,Male,22,Outer Regional Australia,Dubbo,Arterial Road,No,No,17_to_25,Weekday,Night
20185107,WA,3-1-2018 22:00,Friday,Single,No,No,No,80,Driver,Female,40,Inner Regional Australia,Dardanup,Local Road,No,No,40_to_64,Weekend,Night
20185060,WA,3-1-2018 22:00,Sunday,Single,No,No,No,80,Driver,Male,32,Inner Regional Australia,Busselton,Local Road,No,No,26_to_39,Weekend,Night
20183152,Qld,3-1-2018 23:00,Tuesday,Single,No,No,No,60,Passenger,Female,17,Inner Regional Australia,Sunshine Coast,Local Road,No,No,17_to_25,Weekday,Night
20183150,Qld,3-1-2018 23:00,Sunday,Single,No,No,No,100,Driver,Male,19,Inner Regional Australia,Bundaberg,Collector Road,No,No,17_to_25,Weekend,Night
20181160,NSW & ACT,3-1-2018 23:00,Friday,Single,No,No,No,100,Pedestrian,Female,29,Remote Australia,Wentworth,Arterial Road,No,No,26_to_39,Weekend,Night
20182122,Vic,3-1-2018 23:00,Thursday,Single,No,No,No,80,Driver,Male,37,Major Cities of Australia,Frankston,Sub-Arterial Road,No,No,26_to_39,Weekday,Night
