Crash ID,State,Month,Year,Day,Time,Crash Type,Number Fatalities,"Bus 
Involvement",Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Time
20225067,WA,12,2022,Friday,21:00,Single,1,No,No,No,50,Unknown,Unknown,Unknown,No,No,Weekend,Night,21:00
20225075,WA,12,2022,Monday,8:00,Single,1,No,No,No,60,Unknown,Unknown,Unknown,No,No,Weekday,Day,8:00
20222115,Vic,12,2022,Tuesday,15:00,Single,1,No,No,No,Unknown,Inner Regional Australia,Murrindindi,Arterial Road,Yes,No,Weekday,Day,15:00
20221155,NSW & ACT,11,2022,Sunday,12:00,Multiple,1,No,No,No,60,Inner Regional Australia,Coffs Harbour,National or State Highway,No,No,Weekend,Day,12:00
20221062,NSW & ACT,11,2022,Monday,12:00,Single,1,No,No,No,60,Major Cities of Australia,Blacktown,Local Road,No,No,Weekday,Day,12:00
20222122,Vic,11,2022,Friday,5:00,Single,1,No,No,No,50,Major Cities of Australia,Casey,Collector Road,No,No,Weekday,Night,5:00
20222133,Vic,11,2022,Tuesday,4:00,Single,1,No,No,No,60,Major Cities of Australia,Yarra,Arterial Road,No,No,Weekday,Night,4:00
20222228,Vic,11,2022,Sunday,21:00,Single,1,No,No,No,60,Major Cities of Australia,Wyndham,Arterial Road,No,No,Weekend,Night,21:00
20222080,Vic,11,2022,Saturday,16:00,Multiple,1,No,No,No,100,Inner Regional Australia,Campaspe,National or State Highway,No,No,Weekend,Day,16:00
20223203,Qld,11,2022,Wednesday,6:00,Multiple,1,No,No,No,100,Outer Regional Australia,Isaac,National or State Highway,No,No,Weekday,Day,6:00
20223218,Qld,11,2022,Tuesday,1:00,Multiple,2,No,No,Yes,60,Inner Regional Australia,Western Downs,National or State Highway,No,No,Weekday,Night,1:00
20223257,Qld,11,2022,Sunday,8:00,Multiple,1,No,No,No,60,Outer Regional Australia,North Burnett,National or State Highway,No,No,Weekend,Day,8:00
20224006,SA,11,2022,Saturday,19:00,Multiple,1,No,No,No,80,Major Cities of Australia,Playford,Collector Road,No,No,Weekend,Night,19:00
20225111,WA,11,2022,Wednesday,21:00,Single,1,No,No,No,50,Unknown,Unknown,Unknown,No,No,Weekday,Night,21:00
20221186,NSW & ACT,11,2022,Saturday,7:00,Single,1,No,No,No,100,Outer Regional Australia,Upper Hunter,Sub-Arterial Road,No,No,Weekend,Day,7:00
20221196,NSW & ACT,11,2022,Thursday,6:00,Multiple,1,No,Yes,No,60,Major Cities of Australia,Blacktown,Collector Road,No,No,Weekday,Day,6:00
20221251,NSW & ACT,11,2022,Monday,11:00,Single,1,No,No,No,100,Outer Regional Australia,Tamworth,Local Road,No,No,Weekday,Day,11:00
20221011,NSW & ACT,11,2022,Saturday,10:00,Single,1,No,No,No,60,Inner Regional Australia,Albury,Sub-Arterial Road,No,No,Weekend,Day,10:00
20222112,Vic,11,2022,Friday,15:00,Single,1,No,No,No,100,Outer Regional Australia,Towong,Collector Road,No,No,Weekday,Day,15:00
20222186,Vic,11,2022,Friday,1:00,Multiple,1,No,No,No,100,Outer Regional Australia,Glenelg,National or State Highway,No,No,Weekday,Night,1:00
20223113,Qld,11,2022,Sunday,22:00,Single,1,No,No,No,80,Major Cities of Australia,Gold Coast,Sub-Arterial Road,No,No,Weekend,Night,22:00
20225125,WA,11,2022,Wednesday,10:00,Single,1,No,No,No,20,Unknown,Unknown,Unknown,No,No,Weekday,Day,10:00
20225127,WA,11,2022,Sunday,9:00,Multiple,1,No,No,No,100,Unknown,Unknown,Unknown,No,No,Weekend,Day,9:00
20225146,WA,11,2022,Wednesday,6:00,Single,1,No,No,No,110,Unknown,Unknown,Unknown,No,No,Weekday,Day,6:00
20225046,WA,11,2022,Wednesday,21:00,Single,1,Unknown,Unknown,Unknown,60,Unknown,Unknown,Unknown,No,No,Weekday,Night,21:00
20221107,NSW & ACT,11,2022,Saturday,23:00,Multiple,1,No,No,No,60,Major Cities of Australia,Newcastle,National or State Highway,No,No,Weekend,Night,23:00
20221208,NSW & ACT,11,2022,Thursday,7:00,Multiple,1,No,Yes,No,50,Inner Regional Australia,Coffs Harbour,Sub-Arterial Road,No,No,Weekday,Day,7:00
20221219,NSW & ACT,11,2022,Monday,9:00,Multiple,1,No,No,Yes,100,Outer Regional Australia,Inverell,National or State Highway,No,No,Weekday,Day,9:00
20221237,NSW & ACT,11,2022,Thursday,11:00,Single,1,No,No,No,100,Outer Regional Australia,Tamworth,National or State Highway,No,No,Weekday,Day,11:00
20221073,NSW & ACT,11,2022,Thursday,18:00,Single,1,No,No,No,100,Outer Regional Australia,Mid-Western,Sub-Arterial Road,No,No,Weekday,Night,18:00
20222052,Vic,11,2022,Thursday,16:00,Multiple,1,No,No,No,80,Major Cities of Australia,Casey,Sub-Arterial Road,No,No,Weekday,Day,16:00
20223207,Qld,11,2022,Saturday,21:00,Single,1,No,No,No,60,Outer Regional Australia,Charters Towers,Local Road,No,No,Weekend,Night,21:00
20223039,Qld,11,2022,Monday,6:00,Single,1,No,No,No,60,Outer Regional Australia,Cassowary Coast,Local Road,No,No,Weekday,Day,6:00
20223064,Qld,11,2022,Saturday,13:00,Single,1,No,No,No,100,Outer Regional Australia,Scenic Rim,National or State Highway,No,No,Weekend,Day,13:00
20227034,NT,11,2022,Wednesday,18:00,Single,1,No,No,No,80,Unknown,Unknown,Unknown,No,No,Weekday,Night,18:00
20221256,NSW & ACT,11,2022,Tuesday,7:00,Multiple,1,No,No,Yes,110,Inner Regional Australia,Yass Valley,National or State Highway,No,No,Weekday,Day,7:00
20222190,Vic,11,2022,Friday,18:00,Single,1,No,No,No,70,Major Cities of Australia,Brimbank,Local Road,No,No,Weekend,Night,18:00
