National LGA Name 2021,Year,Fatalities,Population,Fatality Rate
Canning,2020,2,99593,2.008173265
Canning,2021,5,99593,5.020433163
Canterbury-Bankstown,2015,6,372066,1.612617116
Canterbury-Bankstown,2016,10,372066,2.687695194
Canterbury-Bankstown,2017,5,372066,1.343847597
Canterbury-Bankstown,2018,10,372066,2.687695194
Canterbury-Bankstown,2019,7,372066,1.881386636
Canterbury-Bankstown,2020,5,372066,1.343847597
Canterbury-Bankstown,2021,6,372066,1.612617116
Canterbury-Bankstown,2022,8,372066,2.150156155
Capel,2016,3,19002,15.78781181
Capel,2017,2,19002,10.52520787
Capel,2018,2,19002,10.52520787
Capel,2019,2,19002,10.52520787
Capel,2020,4,19002,21.05041575
Capel,2021,1,19002,5.262603936
Cardinia,2015,8,123104,6.498570315
Cardinia,2016,7,123104,5.686249025
Cardinia,2017,6,123104,4.873927736
Cardinia,2018,7,123104,5.686249025
Cardinia,2019,4,123104,3.249285157
Cardinia,2020,3,123104,2.436963868
Cardinia,2021,14,123104,11.37249805
Cardinia,2022,5,123104,4.061606447
Carnamah,2017,1,572,174.8251748
Carnamah,2018,1,572,174.8251748
Carnamah,2019,1,572,174.8251748
Carnarvon,2015,1,5518,18.12250816
Carnarvon,2017,1,5518,18.12250816
Carnarvon,2018,2,5518,36.24501631
Carnarvon,2020,1,5518,18.12250816
Carnarvon,2021,1,5518,18.12250816
Carpentaria,2022,1,2171,46.06172271
Carrathool,2015,1,2829,35.34817957
Carrathool,2016,1,2829,35.34817957
Carrathool,2017,1,2829,35.34817957
Carrathool,2019,1,2829,35.34817957
Carrathool,2020,1,2829,35.34817957
Carrathool,2021,2,2829,70.69635914
Carrathool,2022,2,2829,70.69635914
Casey,2015,4,378831,1.055879799
Casey,2016,9,378831,2.375729547
Casey,2017,8,378831,2.111759597
Casey,2018,4,378831,1.055879799
Casey,2019,6,378831,1.583819698
Casey,2020,4,378831,1.055879799
Casey,2021,13,378831,3.431609346
Casey,2022,9,378831,2.375729547
Cassowary Coast,2018,2,29605,6.755615605
Cassowary Coast,2019,6,29605,20.26684682
Cassowary Coast,2020,5,29605,16.88903901
Cassowary Coast,2021,1,29605,3.377807803
Cassowary Coast,2022,6,29605,20.26684682
Ceduna,2015,1,3651,27.38975623
Ceduna,2016,1,3651,27.38975623
Ceduna,2019,1,3651,27.38975623
Ceduna,2020,1,3651,27.38975623
Central Coast (NSW),2015,13,349173,3.723082827
Central Coast (NSW),2016,17,349173,4.868646774
Central Coast (NSW),2017,12,349173,3.43669184
Central Coast (NSW),2018,22,349173,6.300601707
Central Coast (NSW),2019,9,349173,2.57751888
Central Coast (NSW),2020,7,349173,2.004736907
Central Coast (NSW),2021,11,349173,3.150300854
Central Coast (NSW),2022,9,349173,2.57751888
Central Coast (Tas.),2017,2,23345,8.567144999
Central Coast (Tas.),2018,2,23345,8.567144999
Central Coast (Tas.),2020,1,23345,4.283572499
Central Coast (Tas.),2021,2,23345,8.567144999
Central Coast (Tas.),2022,1,23345,4.283572499
Central Darling,2018,2,1749,114.3510577
Central Darling,2019,1,1749,57.17552887
Central Darling,2022,1,1749,57.17552887
Central Desert,2015,1,4107,24.348673
Central Desert,2016,2,4107,48.69734599
Central Desert,2017,2,4107,48.69734599
Central Desert,2018,3,4107,73.04601899
Central Desert,2019,3,4107,73.04601899
Central Desert,2020,1,4107,24.348673
Central Desert,2021,1,4107,24.348673
Central Desert,2022,1,4107,24.348673
Central Goldfields,2016,2,13516,14.7972773
Central Goldfields,2017,1,13516,7.39863865
Central Goldfields,2019,2,13516,14.7972773
Central Goldfields,2020,4,13516,29.5945546
Central Goldfields,2022,1,13516,7.39863865
Central Highlands (Qld),2018,3,28530,10.51524711
Central Highlands (Qld),2019,4,28530,14.02032948
Central Highlands (Qld),2020,6,28530,21.03049422
Central Highlands (Qld),2021,4,28530,14.02032948
Central Highlands (Qld),2022,5,28530,17.52541185
Central Highlands (Tas.),2015,3,2586,116.0092807
Central Highlands (Tas.),2016,2,2586,77.33952049
Central Highlands (Tas.),2021,2,2586,77.33952049
Cessnock,2015,3,65878,4.553872309
Cessnock,2016,3,65878,4.553872309
Cessnock,2017,4,65878,6.071829746
Cessnock,2018,3,65878,4.553872309
Cessnock,2019,1,65878,1.517957436
Cessnock,2020,6,65878,9.107744619
Cessnock,2021,5,65878,7.589787182
Cessnock,2022,2,65878,3.035914873
Chapman Valley,2016,1,1636,61.12469438
Chapman Valley,2019,1,1636,61.12469438
Chapman Valley,2021,1,1636,61.12469438
Charles Sturt,2015,7,124864,5.606099436
Charles Sturt,2016,1,124864,0.800871348
Charles Sturt,2017,2,124864,1.601742696
Charles Sturt,2018,2,124864,1.601742696
Charles Sturt,2019,3,124864,2.402614044
Charles Sturt,2020,2,124864,1.601742696
Charles Sturt,2021,5,124864,4.00435674
Charters Towers,2018,1,11981,8.346548702
Charters Towers,2019,2,11981,16.6930974
Charters Towers,2020,3,11981,25.03964611
Charters Towers,2021,9,11981,75.11893832
Charters Towers,2022,2,11981,16.6930974
Chittering,2015,1,6296,15.88310038
Chittering,2016,1,6296,15.88310038
Chittering,2017,2,6296,31.76620076
Chittering,2021,3,6296,47.64930114
Circular Head,2015,1,8367,11.95171507
Circular Head,2018,1,8367,11.95171507
Circular Head,2020,3,8367,35.85514521
Circular Head,2021,1,8367,11.95171507
Clare and Gilbert Valleys,2015,4,9383,42.63028882
Clare and Gilbert Valleys,2016,1,9383,10.65757221
Clare and Gilbert Valleys,2018,1,9383,10.65757221
Clare and Gilbert Valleys,2019,1,9383,10.65757221
Clare and Gilbert Valleys,2020,1,9383,10.65757221
Clare and Gilbert Valleys,2021,2,9383,21.31514441
Claremont,2016,1,11718,8.533879502
Claremont,2017,1,11718,8.533879502
Clarence,2015,3,63086,4.755413245
Clarence,2016,1,63086,1.585137748
Clarence,2017,4,63086,6.340550994
Clarence,2018,1,63086,1.585137748
Clarence,2020,2,63086,3.170275497
Clarence,2021,1,63086,1.585137748
Clarence,2022,4,63086,6.340550994
Clarence Valley,2015,3,54662,5.488273389
Clarence Valley,2016,12,54662,21.95309356
Clarence Valley,2017,10,54662,18.29424463
Clarence Valley,2018,8,54662,14.6353957
Clarence Valley,2019,10,54662,18.29424463
Clarence Valley,2020,7,54662,12.80597124
Clarence Valley,2021,6,54662,10.97654678
Clarence Valley,2022,3,54662,5.488273389
Cleve,2020,1,1765,56.6572238
Cleve,2021,1,1765,56.6572238
Cleve,2022,1,1765,56.6572238
Cloncurry,2018,1,3789,26.39218791
Cloncurry,2019,2,3789,52.78437582
Cloncurry,2020,4,3789,105.5687516
Cloncurry,2021,2,3789,52.78437582
Cloncurry,2022,1,3789,26.39218791
Cobar,2016,1,4046,24.71576866
Cobar,2017,1,4046,24.71576866
Cobar,2018,1,4046,24.71576866
Cobar,2021,1,4046,24.71576866
Cockburn,2015,7,125123,5.594495017
Cockburn,2016,2,125123,1.598427148
Cockburn,2017,5,125123,3.996067869
Cockburn,2018,6,125123,4.795281443
Cockburn,2019,2,125123,1.598427148
Cockburn,2020,1,125123,0.7992135738
Cockburn,2021,5,125123,3.996067869
