National LGA Name 2021,count Crash ID,Local Government Area,Population,Fatal Crashes Per 1000 People
Tasman,2,Tasman,2676,7.473841555
Tatiara,14,Tatiara,7038,19.89201478
Tea Tree Gully,15,Tea Tree Gully,102619,1.461717616
Temora,6,Temora,5996,10.00667111
Tenterfield,10,Tenterfield,6879,14.53699666
The Hills,28,The Hills,199244,1.40531208
Toodyay,8,Toodyay,4812,16.62510391
Toowoomba,58,Toowoomba,178399,3.2511393
Townsville,49,Townsville,198143,2.472961447
Towong,12,Towong,6196,19.36733376
Trayning,1,Trayning,304,32.89473684
Tumby Bay,3,Tumby Bay,2893,10.36985828
Tweed,45,Tweed,97969,4.593289714
Unincorp. Other Territories,11,Unincorp. Other Territories,2524,43.58161648
Unincorporated ACT,65,Unincorporated ACT,456844,1.422805159
Unincorporated NT,22,Unincorporated NT,7571,29.05824858
Unincorporated SA,34,Unincorporated SA,3024,112.4338624
Unincorporated Vic,2,Unincorporated Vic,961,20.81165453
Unknown,1115,Unknown,,#DIV/0!
Unley,4,Unley,39082,1.023489074
Upper Hunter,15,Upper Hunter,14293,10.49464773
Upper Lachlan,20,Upper Lachlan,8551,23.3890773
Uralla,6,Uralla,5985,10.02506266
Victor Harbor,8,Victor Harbor,16726,4.782972617
Victoria Daly,22,Victoria Daly,3263,67.42261722
Victoria Park,5,Victoria Park,38687,1.292423812
Victoria Plains,7,Victoria Plains,824,84.95145631
Vincent,8,Vincent,38442,2.081057177
Wagait,1,Wagait,463,21.59827214
Wagga Wagga,29,Wagga Wagga,68337,4.24367473
Wagin,5,Wagin,1809,27.63957988
Wakefield,19,Wakefield,6971,27.25577392
Walcha,11,Walcha,3010,36.5448505
Walgett,6,Walgett,5516,10.87744743
Wandering,7,Wandering,548,127.7372263
Wangaratta,24,Wangaratta,29903,8.025950574
Wanneroo,37,Wanneroo,221064,1.673723447
Waratah-Wynyard,12,Waratah-Wynyard,14689,8.169378446
Waroona,10,Waroona,4399,22.73243919
Warren,2,Warren,2578,7.757951901
Warrnambool,13,Warrnambool,35559,3.655895835
Warrumbungle,20,Warrumbungle,9246,21.63097556
Wattle Range,15,Wattle Range,12181,12.31425991
Waverley,9,Waverley,69324,1.298251688
Weddin,7,Weddin,3614,19.36912009
Weipa,1,Weipa,4215,2.372479241
Wellington,35,Wellington,45799,7.642088255
Wentworth,11,Wentworth,7597,14.47939976
West Arnhem,12,West Arnhem,7260,16.52892562
West Arthur,5,West Arthur,797,62.73525721
West Coast,8,West Coast,4351,18.3865778
West Daly,2,West Daly,3435,5.822416303
West Tamar,12,West Tamar,25932,4.627487274
West Torrens,12,West Torrens,63099,1.901773404
West Wimmera,10,West Wimmera,3942,25.36783359
Western Downs,25,Western Downs,34542,7.237565862
Westonia,2,Westonia,252,79.36507937
Whitehorse,20,Whitehorse,172466,1.159648858
Whitsunday,23,Whitsunday,38506,5.973095102
Whittlesea,35,Whittlesea,236966,1.47700514
Whyalla,7,Whyalla,21890,3.197807218
Wickepin,2,Wickepin,706,28.3286119
Williams,8,Williams,1053,75.97340931
Willoughby,13,Willoughby,75473,1.722470287
Wingecarribee,34,Wingecarribee,52795,6.440003788
Wodonga,11,Wodonga,43694,2.517508125
Wollondilly,37,Wollondilly,55801,6.630705543
Wollongong,46,Wollongong,216431,2.125388692
Wongan-Ballidu,3,Wongan-Ballidu,1338,22.42152466
Woodanilling,1,Woodanilling,470,21.27659574
Woollahra,6,Woollahra,53505,1.121390524
Wudinna,2,Wudinna,1162,17.21170396
Wyndham,44,Wyndham,309125,1.423372422
Wyndham-East Kimberley,9,Wyndham-East Kimberley,8057,11.17041082
Yankalilla,7,Yankalilla,5992,11.68224299
Yarra,14,Yarra,92301,1.516776633
Yarra Ranges,61,Yarra Ranges,157388,3.875771978
Yarrabah,1,Yarrabah,2619,3.818251241
Yarriambiack,6,Yarriambiack,6435,9.324009324
Yass Valley,26,Yass Valley,17379,14.96058461
Yilgarn,4,Yilgarn,1196,33.44481605
York,5,York,3567,14.01738155
Yorke Peninsula,11,Yorke Peninsula,11921,9.227413808
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,9407,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
